Season,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Population
summer,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,100M Freestyle,Gold,Hungary,9844686.0
summer,1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",Men,100M Freestyle,Silver,Austria,8611088.0
summer,1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",Men,100M Freestyle For Sailors,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Men,100M Freestyle For Sailors,Gold,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",Men,100M Freestyle For Sailors,Silver,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,1200M Freestyle,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,1200M Freestyle,Gold,Hungary,9844686.0
summer,1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",Men,1200M Freestyle,Silver,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,400M Freestyle,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",Men,400M Freestyle,Gold,Austria,8611088.0
summer,1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",Men,400M Freestyle,Silver,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"LANE, Francis",Men,100M,Bronze,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100M,Bronze,Hungary,9844686.0
summer,1896,Athens,Athletics,Athletics,"BURKE, Thomas",Men,100M,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",Men,100M,Silver,Germany,81413145.0
summer,1896,Athens,Athletics,Athletics,"CURTIS, Thomas",Men,110M Hurdles,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GOULDING, Grantley",Men,110M Hurdles,Silver,United Kingdom,65138232.0
summer,1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",Men,1500M,Bronze,France,66808385.0
